-0	-0.00666667	-0.0133333	-0.02	-0.0266667	-0.0333333	-0.04	-0.0466667	-0.0533333	-0.06	
-0	-0.006666	-0.013332	-0.019998	-0.026664	-0.03333	-0.039996	-0.046662	-0.053328	-0.059994	
-0	-0.00666533	-0.0133307	-0.019996	-0.0266613	-0.0333267	-0.039992	-0.0466573	-0.0533227	-0.059988	
-0	-0.00666467	-0.0133293	-0.019994	-0.0266587	-0.0333233	-0.039988	-0.0466527	-0.0533173	-0.059982	
-0	-0.006664	-0.013328	-0.019992	-0.026656	-0.03332	-0.039984	-0.046648	-0.053312	-0.059976	
-0	-0.00666333	-0.0133267	-0.01999	-0.0266533	-0.0333167	-0.03998	-0.0466433	-0.0533067	-0.05997	
-0	-0.00666267	-0.0133253	-0.019988	-0.0266507	-0.0333133	-0.039976	-0.0466387	-0.0533014	-0.059964	
-0	-0.006662	-0.013324	-0.019986	-0.026648	-0.03331	-0.039972	-0.046634	-0.053296	-0.059958	
-0	-0.00666134	-0.0133227	-0.019984	-0.0266454	-0.0333067	-0.039968	-0.0466294	-0.0532907	-0.059952	
-0	-0.00666067	-0.0133213	-0.019982	-0.0266427	-0.0333034	-0.039964	-0.0466247	-0.0532854	-0.059946	
-0	-0.00666001	-0.01332	-0.01998	-0.02664	-0.0333	-0.03996	-0.04662	-0.0532801	-0.0599401	
-0	-0.00665934	-0.0133187	-0.019978	-0.0266374	-0.0332967	-0.039956	-0.0466154	-0.0532747	-0.0599341	
-0	-0.00665868	-0.0133174	-0.019976	-0.0266347	-0.0332934	-0.0399521	-0.0466107	-0.0532694	-0.0599281	
-0	-0.00665801	-0.013316	-0.019974	-0.026632	-0.0332901	-0.0399481	-0.0466061	-0.0532641	-0.0599221	
-0	-0.00665735	-0.0133147	-0.019972	-0.0266294	-0.0332867	-0.0399441	-0.0466014	-0.0532588	-0.0599161	
-0	-0.00665668	-0.0133134	-0.01997	-0.0266267	-0.0332834	-0.0399401	-0.0465968	-0.0532535	-0.0599101	
-0	-0.00665602	-0.013312	-0.0199681	-0.0266241	-0.0332801	-0.0399361	-0.0465921	-0.0532481	-0.0599042	
-0	-0.00665535	-0.0133107	-0.0199661	-0.0266214	-0.0332768	-0.0399321	-0.0465875	-0.0532428	-0.0598982	
-0	-0.00665469	-0.0133094	-0.0199641	-0.0266188	-0.0332734	-0.0399281	-0.0465828	-0.0532375	-0.0598922	
-0	-0.00665402	-0.013308	-0.0199621	-0.0266161	-0.0332701	-0.0399241	-0.0465782	-0.0532322	-0.0598862	
-0	-0.00665336	-0.0133067	-0.0199601	-0.0266134	-0.0332668	-0.0399202	-0.0465735	-0.0532269	-0.0598802	
-0	-0.0066527	-0.0133054	-0.0199581	-0.0266108	-0.0332635	-0.0399162	-0.0465689	-0.0532216	-0.0598743	
-0	-0.00665203	-0.0133041	-0.0199561	-0.0266081	-0.0332602	-0.0399122	-0.0465642	-0.0532163	-0.0598683	
-0	-0.00665137	-0.0133027	-0.0199541	-0.0266055	-0.0332568	-0.0399082	-0.0465596	-0.0532109	-0.0598623	
